days,bottle.id,substrate.mass.vs,isr.mean,cvCH4,vol.mi.mn,vol.mi.se,n,rsd.inoc,cvCH4.tot,cvCH4.inoc,fv.inoc,se.inoc,cvCH4.se,rrvCH4
0,cellulose 1,3.071,3.23382643214991,0,0,0,3,NA,0,0,NA,0,0,NA
1,cellulose 1,3.071,3.23382643214991,5.49750662046927,7.64256939185496,0.252868654924636,3,5.73081297027998,30.3809833930316,24.8834767725623,0.819047772438788,0.82331621457467,0,100
2,cellulose 1,3.071,3.23382643214991,60.0721735063397,14.8034890659318,0.482446860420485,3,5.64476705781101,108.270921523934,48.1987480175939,0.445167985449717,1.57080094791982,0,90.85
3,cellulose 1,3.071,3.23382643214991,170.693639374875,20.0522231813051,0.702849954889227,3,6.07100679539915,235.981764897428,65.2881255225521,0.276665976928049,2.28841239514577,0,64.81
4,cellulose 1,3.071,3.23382643214991,285.855052146725,24.5166519957687,0.93805668469444,3,6.6271766575257,365.678931943992,79.8238797972672,0.218289523470532,3.05422306663224,0,40.29
5,cellulose 1,3.071,3.23382643214991,322.386436122389,28.3682942052772,1.11710791843493,3,6.82059928688583,414.750895473787,92.3644593513984,0.222698637566259,3.63719680065269,0,11.33
6,cellulose 1,3.071,3.23382643214991,337.281359314911,31.6844337056356,1.2756295256178,3,6.97331431115975,440.442852491045,103.161493176134,0.234222198391177,4.15332802930572,0,4.416
7,cellulose 1,3.071,3.23382643214991,346.314879214113,34.6505710621336,1.40587977254852,3,7.0274605028038,459.133832627808,112.818953413696,0.245721280803872,4.57741040631039,0,2.608
8,cellulose 1,3.071,3.23382643214991,353.119433238851,37.4112008834876,1.48062801539635,3,6.85496025044274,474.926733962879,121.807300724028,0.256475982532389,4.82078355339314,0,1.927
9,cellulose 1,3.071,3.23382643214991,359.097063506865,39.5557101698676,1.54782800825087,3,6.77757203740181,487.886681862585,128.78961835572,0.263974449689926,5.03958031866607,0,1.665
10,cellulose 1,3.071,3.23382643214991,364.000634387036,41.6800608425374,1.61168809388208,3,6.69750861234024,499.706935851514,135.706301464478,0.27157177883319,5.24750266467597,0,1.347
11,cellulose 1,3.071,3.23382643214991,368.038218632027,43.7403488550718,1.67374891153678,3,6.62778928330077,510.452621295995,142.414402663968,0.278996319584745,5.44956676582014,0,1.097
12,cellulose 1,3.071,3.23382643214991,370.974142199559,45.6289376828545,1.70431032812791,3,6.46947360620045,519.537609899056,148.563467699496,0.28595324932946,5.54907182241699,0,0.7914
13,cellulose 1,3.071,3.23382643214991,373.701230251488,47.2516301968612,1.7453929438619,3,6.39789409454458,527.548029957668,153.846799706181,0.291626147705501,5.68283289960948,0,0.7298
0,cellulose 2,3.052,3.23382643214991,0,0,0,3,NA,0,0,NA,0,0,NA
1,cellulose 2,3.052,3.23382643214991,3.91513898733062,7.64256939185496,0.252868654924636,3,5.73081297027998,28.6041939711664,24.6890549838358,0.863127099778545,0.816883407270924,0,100
2,cellulose 2,3.052,3.23382643214991,53.5867549060071,14.8034890659318,0.482446860420485,3,5.64476705781101,101.408912188729,47.8221572827216,0.471577460506837,1.55852782657029,0,92.69
3,cellulose 2,3.052,3.23382643214991,163.990010422904,20.0522231813051,0.702849954889227,3,6.07100679539915,228.768020969856,64.7780105469514,0.283160252347888,2.27053236836034,0,67.32
4,cellulose 2,3.052,3.23382643214991,281.481327537994,24.5166519957687,0.93805668469444,3,6.6271766575257,360.681520314548,79.2001927765536,0.21958483680418,3.030359539955,0,41.74
5,cellulose 2,3.052,3.23382643214991,312.616712804186,28.3682942052772,1.11710791843493,3,6.82059928688583,404.259501965924,91.6427891617384,0.22669297497295,3.6087783318673,0,9.96
6,cellulose 2,3.052,3.23382643214991,323.725795547618,31.6844337056356,1.2756295256178,3,6.97331431115975,426.08125819135,102.355462643732,0.240225216847639,4.12087687820629,0,3.432
7,cellulose 2,3.052,3.23382643214991,330.035010708198,34.6505710621336,1.40587977254852,3,7.0274605028038,441.97247706422,111.937466356022,0.25326795708991,4.54164577715248,0,1.912
8,cellulose 2,3.052,3.23382643214991,333.829867048938,37.4112008834876,1.48062801539635,3,6.85496025044274,454.685452162516,120.855585113578,0.26580042211331,4.78311737956701,0,1.137
9,cellulose 2,3.052,3.23382643214991,337.747451594171,39.5557101698676,1.54782800825087,3,6.77757203740181,465.530799475754,127.783347881582,0.274489567662295,5.00020462253882,0,1.16
10,cellulose 2,3.052,3.23382643214991,341.271442244529,41.6800608425374,1.61168809388208,3,6.69750861234024,475.917431192661,134.645988948131,0.282918800874146,5.20650241122512,0,1.033
11,cellulose 2,3.052,3.23382643214991,343.888361502386,43.7403488550718,1.67374891153678,3,6.62778928330077,485.19003931848,141.301677816094,0.291229552062883,5.4069877272043,0,0.761
12,cellulose 2,3.052,3.23382643214991,345.749333023728,45.6289376828545,1.70431032812791,3,6.46947360620045,493.152031454784,147.402698431056,0.298899100133933,5.50571532206348,0,0.5382
13,cellulose 2,3.052,3.23382643214991,347.322484360967,47.2516301968612,1.7453929438619,3,6.39789409454458,499.967234600262,152.644750239295,0.305309507654715,5.63843128533852,0,0.4529
0,cellulose 3,3.052,3.23382643214991,0,0,0,3,NA,0,0,NA,0,0,NA
1,cellulose 3,3.052,3.23382643214991,3.40995440578366,7.64256939185496,0.252868654924636,3,5.73081297027998,27.9816513761468,24.5716969703631,0.878136055662158,0.813000398626855,0,100
2,cellulose 3,3.052,3.23382643214991,54.0761979985904,14.8034890659318,0.482446860420485,3,5.64476705781101,101.671035386632,47.5948373880414,0.46812582567935,1.5511194535164,0,93.69
